,Edition,Year,Points type,From,To,Points
3270,malmo-2024,2024,Points given by the jury,ireland,germany,6
3271,malmo-2024,2024,Points given by the jury,israel,germany,10
3272,malmo-2024,2024,Points given by the jury,italy,germany,4
3273,malmo-2024,2024,Points given by the jury,latvia,germany,4
3274,malmo-2024,2024,Points given by the jury,lithuania,germany,1
3275,malmo-2024,2024,Points given by the jury,luxembourg,germany,4
3276,malmo-2024,2024,Points given by the jury,the netherlands,germany,5
3277,malmo-2024,2024,Points given by the jury,norway,germany,6
3278,malmo-2024,2024,Points given by the jury,poland,germany,4
3279,malmo-2024,2024,Points given by the jury,portugal,germany,2
3280,malmo-2024,2024,Points given by the jury,san marino,germany,1
3281,malmo-2024,2024,Points given by the jury,spain,germany,5
3282,malmo-2024,2024,Points given by the jury,ukraine,germany,7
3283,malmo-2024,2024,Points given by the jury,united kingdom,germany,2
3284,malmo-2024,2024,Points given by televoters,austria,germany,4
3285,malmo-2024,2024,Points given by televoters,iceland,germany,2
3286,malmo-2024,2024,Points given by televoters,israel,germany,8
3287,malmo-2024,2024,Points given by televoters,luxembourg,germany,1
3288,malmo-2024,2024,Points given by televoters,switzerland,germany,3
3289,malmo-2024,2024,Points given by the jury,albania,luxembourg,4
3290,malmo-2024,2024,Points given by the jury,australia,luxembourg,2
3291,malmo-2024,2024,Points given by the jury,azerbaijan,luxembourg,8
3292,malmo-2024,2024,Points given by the jury,croatia,luxembourg,5
3293,malmo-2024,2024,Points given by the jury,cyprus,luxembourg,4
3294,malmo-2024,2024,Points given by the jury,denmark,luxembourg,1
3295,malmo-2024,2024,Points given by the jury,finland,luxembourg,4
3296,malmo-2024,2024,Points given by the jury,france,luxembourg,7
3297,malmo-2024,2024,Points given by the jury,germany,luxembourg,3
3298,malmo-2024,2024,Points given by the jury,greece,luxembourg,3
3299,malmo-2024,2024,Points given by the jury,ireland,luxembourg,8
3300,malmo-2024,2024,Points given by the jury,israel,luxembourg,12
3301,malmo-2024,2024,Points given by the jury,malta,luxembourg,4
3302,malmo-2024,2024,Points given by the jury,moldova,luxembourg,2
3303,malmo-2024,2024,Points given by the jury,slovenia,luxembourg,5
3304,malmo-2024,2024,Points given by the jury,sweden,luxembourg,6
3305,malmo-2024,2024,Points given by the jury,ukraine,luxembourg,1
3306,malmo-2024,2024,Points given by the jury,united kingdom,luxembourg,4
3307,malmo-2024,2024,Points given by televoters,belgium,luxembourg,1
3308,malmo-2024,2024,Points given by televoters,france,luxembourg,3
3309,malmo-2024,2024,Points given by televoters,israel,luxembourg,12
3310,malmo-2024,2024,Points given by the jury,estonia,lithuania,2
3311,malmo-2024,2024,Points given by the jury,france,lithuania,1
3312,malmo-2024,2024,Points given by the jury,germany,lithuania,1
3313,malmo-2024,2024,Points given by the jury,moldova,lithuania,5
3314,malmo-2024,2024,Points given by the jury,the netherlands,lithuania,4
3315,malmo-2024,2024,Points given by the jury,portugal,lithuania,7
3316,malmo-2024,2024,Points given by the jury,serbia,lithuania,7
3317,malmo-2024,2024,Points given by the jury,ukraine,lithuania,5
3318,malmo-2024,2024,Points given by televoters,czech republic,lithuania,1
3319,malmo-2024,2024,Points given by televoters,denmark,lithuania,1
3320,malmo-2024,2024,Points given by televoters,estonia,lithuania,4
3321,malmo-2024,2024,Points given by televoters,germany,lithuania,2
3322,malmo-2024,2024,Points given by televoters,iceland,lithuania,4
3323,malmo-2024,2024,Points given by televoters,ireland,lithuania,7
3324,malmo-2024,2024,Points given by televoters,latvia,lithuania,8
3325,malmo-2024,2024,Points given by televoters,luxembourg,lithuania,4
3326,malmo-2024,2024,Points given by televoters,the netherlands,lithuania,1
3327,malmo-2024,2024,Points given by televoters,norway,lithuania,3
3328,malmo-2024,2024,Points given by televoters,poland,lithuania,3
3329,malmo-2024,2024,Points given by televoters,san marino,lithuania,1
3330,malmo-2024,2024,Points given by televoters,spain,lithuania,1
3331,malmo-2024,2024,Points given by televoters,sweden,lithuania,3
3332,malmo-2024,2024,Points given by televoters,ukraine,lithuania,7
3333,malmo-2024,2024,Points given by televoters,united kingdom,lithuania,8
3334,malmo-2024,2024,Points given by the jury,armenia,cyprus,2
3335,malmo-2024,2024,Points given by the jury,australia,cyprus,6
3336,malmo-2024,2024,Points given by the jury,azerbaijan,cyprus,2
3337,malmo-2024,2024,Points given by the jury,croatia,cyprus,1
3338,malmo-2024,2024,Points given by the jury,greece,cyprus,10
3339,malmo-2024,2024,Points given by the jury,luxembourg,cyprus,7
3340,malmo-2024,2024,Points given by the jury,san marino,cyprus,3
3341,malmo-2024,2024,Points given by the jury,sweden,cyprus,2
3342,malmo-2024,2024,Points given by the jury,united kingdom,cyprus,1
3343,malmo-2024,2024,Points given by televoters,albania,cyprus,5
3344,malmo-2024,2024,Points given by televoters,armenia,cyprus,4
3345,malmo-2024,2024,Points given by televoters,australia,cyprus,5
3346,malmo-2024,2024,Points given by televoters,azerbaijan,cyprus,6
3347,malmo-2024,2024,Points given by televoters,greece,cyprus,12
3348,malmo-2024,2024,Points given by televoters,israel,cyprus,1
3349,malmo-2024,2024,Points given by televoters,portugal,cyprus,1
3350,malmo-2024,2024,Points given by televoters,san marino,cyprus,4
3351,malmo-2024,2024,Points given by televoters,slovenia,cyprus,6
3352,malmo-2024,2024,Points given by the jury,denmark,latvia,4
3353,malmo-2024,2024,Points given by the jury,estonia,latvia,1
3354,malmo-2024,2024,Points given by the jury,georgia,latvia,8
3355,malmo-2024,2024,Points given by the jury,luxembourg,latvia,8
3356,malmo-2024,2024,Points given by the jury,malta,latvia,5
3357,malmo-2024,2024,Points given by the jury,the netherlands,latvia,1
3358,malmo-2024,2024,Points given by the jury,poland,latvia,2
3359,malmo-2024,2024,Points given by the jury,spain,latvia,4
3360,malmo-2024,2024,Points given by the jury,united kingdom,latvia,3
3361,malmo-2024,2024,Points given by televoters,denmark,latvia,4
3362,malmo-2024,2024,Points given by televoters,estonia,latvia,3
3363,malmo-2024,2024,Points given by televoters,georgia,latvia,1
3364,malmo-2024,2024,Points given by televoters,ireland,latvia,5
3365,malmo-2024,2024,Points given by televoters,lithuania,latvia,4
3366,malmo-2024,2024,Points given by televoters,norway,latvia,2
3367,malmo-2024,2024,Points given by televoters,ukraine,latvia,5
3368,malmo-2024,2024,Points given by televoters,united kingdom,latvia,4
3369,malmo-2024,2024,Points given by the jury,albania,serbia,1
3370,malmo-2024,2024,Points given by the jury,armenia,serbia,5
3371,malmo-2024,2024,Points given by the jury,croatia,serbia,3
3372,malmo-2024,2024,Points given by the jury,cyprus,serbia,5
3373,malmo-2024,2024,Points given by the jury,denmark,serbia,2
3374,malmo-2024,2024,Points given by the jury,ireland,serbia,1
3375,malmo-2024,2024,Points given by the jury,portugal,serbia,1
3376,malmo-2024,2024,Points given by the jury,slovenia,serbia,4
3377,malmo-2024,2024,Points given by televoters,albania,serbia,2
3378,malmo-2024,2024,Points given by televoters,austria,serbia,5
3379,malmo-2024,2024,Points given by televoters,croatia,serbia,12
3380,malmo-2024,2024,Points given by televoters,malta,serbia,3
3381,malmo-2024,2024,Points given by televoters,slovenia,serbia,5
3382,malmo-2024,2024,Points given by televoters,switzerland,serbia,5
3383,malmo-2024,2024,Points given by the jury,australia,united kingdom,4
3384,malmo-2024,2024,Points given by the jury,belgium,united kingdom,6
3385,malmo-2024,2024,Points given by the jury,iceland,united kingdom,8
3386,malmo-2024,2024,Points given by the jury,ireland,united kingdom,4
3387,malmo-2024,2024,Points given by the jury,latvia,united kingdom,3
3388,malmo-2024,2024,Points given by the jury,portugal,united kingdom,4
3389,malmo-2024,2024,Points given by the jury,serbia,united kingdom,4
3390,malmo-2024,2024,Points given by the jury,spain,united kingdom,2
3391,malmo-2024,2024,Points given by the jury,sweden,united kingdom,8
3392,malmo-2024,2024,Points given by the jury,switzerland,united kingdom,3
3393,malmo-2024,2024,Points given by the jury,australia,finland,3
3394,malmo-2024,2024,Points given by the jury,san marino,finland,4
3395,malmo-2024,2024,Points given by televoters,australia,finland,4
3396,malmo-2024,2024,Points given by televoters,denmark,finland,2
3397,malmo-2024,2024,Points given by televoters,estonia,finland,8
3398,malmo-2024,2024,Points given by televoters,iceland,finland,1
3399,malmo-2024,2024,Points given by televoters,ireland,finland,3
3400,malmo-2024,2024,Points given by televoters,latvia,finland,1
3401,malmo-2024,2024,Points given by televoters,norway,finland,1
3402,malmo-2024,2024,Points given by televoters,poland,finland,1
3403,malmo-2024,2024,Points given by televoters,sweden,finland,5
3404,malmo-2024,2024,Points given by televoters,ukraine,finland,2
3405,malmo-2024,2024,Points given by televoters,united kingdom,finland,3
3406,malmo-2024,2024,Points given by the jury,austria,estonia,2
3407,malmo-2024,2024,Points given by the jury,italy,estonia,2
3408,malmo-2024,2024,Points given by televoters,croatia,estonia,4
3409,malmo-2024,2024,Points given by televoters,finland,estonia,7
3410,malmo-2024,2024,Points given by televoters,latvia,estonia,12
3411,malmo-2024,2024,Points given by televoters,lithuania,estonia,6
3412,malmo-2024,2024,Points given by televoters,ukraine,estonia,4
3413,malmo-2024,2024,Points given by the jury,armenia,georgia,3
3414,malmo-2024,2024,Points given by the jury,azerbaijan,georgia,7
3415,malmo-2024,2024,Points given by the jury,israel,georgia,2
3416,malmo-2024,2024,Points given by the jury,malta,georgia,2
3417,malmo-2024,2024,Points given by the jury,norway,georgia,1
3418,malmo-2024,2024,Points given by televoters,armenia,georgia,5
3419,malmo-2024,2024,Points given by televoters,azerbaijan,georgia,5
3420,malmo-2024,2024,Points given by televoters,israel,georgia,4
3421,malmo-2024,2024,Points given by televoters,italy,georgia,5
3422,malmo-2024,2024,Points given by the jury,austria,spain,4
3423,malmo-2024,2024,Points given by the jury,finland,spain,1
3424,malmo-2024,2024,Points given by the jury,italy,spain,7
3425,malmo-2024,2024,Points given by the jury,san marino,spain,6
3426,malmo-2024,2024,Points given by the jury,switzerland,spain,1
3427,malmo-2024,2024,Points given by televoters,finland,spain,3
3428,malmo-2024,2024,Points given by televoters,france,spain,2
3429,malmo-2024,2024,Points given by televoters,ireland,spain,2
3430,malmo-2024,2024,Points given by televoters,italy,spain,1
3431,malmo-2024,2024,Points given by televoters,portugal,spain,3
3432,malmo-2024,2024,Points given by the jury,albania,slovenia,2
3433,malmo-2024,2024,Points given by the jury,azerbaijan,slovenia,3
3434,malmo-2024,2024,Points given by the jury,croatia,slovenia,10
3435,malmo-2024,2024,Points given by televoters,croatia,slovenia,10
3436,malmo-2024,2024,Points given by televoters,serbia,slovenia,2
3437,malmo-2024,2024,Points given by the jury,israel,austria,7
3438,malmo-2024,2024,Points given by the jury,italy,austria,5
3439,malmo-2024,2024,Points given by the jury,spain,austria,6
3440,malmo-2024,2024,Points given by the jury,sweden,austria,1
3441,malmo-2024,2024,Points given by televoters,finland,austria,2
3442,malmo-2024,2024,Points given by televoters,israel,austria,3
3443,malmo-2024,2024,Points given by the jury,albania,norway,6
3444,malmo-2024,2024,Points given by the jury,austria,norway,1
3445,malmo-2024,2024,Points given by the jury,czech republic,norway,1
3446,malmo-2024,2024,Points given by the jury,finland,norway,2
3447,malmo-2024,2024,Points given by the jury,lithuania,norway,2
3448,malmo-2024,2024,Points given by televoters,finland,norway,1
3449,malmo-2024,2024,Points given by televoters,ukraine,norway,3
3450,malmo-2024,2024,Points given,australia,croatia,12
3451,malmo-2024,2024,Points given,azerbaijan,croatia,7
3452,malmo-2024,2024,Points given,cyprus,croatia,7
3453,malmo-2024,2024,Points given,finland,croatia,12
3454,malmo-2024,2024,Points given,germany,croatia,12
3455,malmo-2024,2024,Points given,iceland,croatia,12
3456,malmo-2024,2024,Points given,ireland,croatia,10
3457,malmo-2024,2024,Points given,lithuania,croatia,10
3458,malmo-2024,2024,Points given,luxembourg,croatia,7
3459,malmo-2024,2024,Points given,moldova,croatia,8
3460,malmo-2024,2024,Points given,poland,croatia,10
3461,malmo-2024,2024,Points given,portugal,croatia,6
3462,malmo-2024,2024,Points given,serbia,croatia,12
3463,malmo-2024,2024,Points given,slovenia,croatia,12
3464,malmo-2024,2024,Points given,sweden,croatia,12
3465,malmo-2024,2024,Points given,ukraine,croatia,12
3466,malmo-2024,2024,Points given,united kingdom,croatia,8
3467,malmo-2024,2024,Points given,australia,ukraine,8
3468,malmo-2024,2024,Points given,azerbaijan,ukraine,10
3469,malmo-2024,2024,Points given,croatia,ukraine,8
3470,malmo-2024,2024,Points given,cyprus,ukraine,12
3471,malmo-2024,2024,Points given,finland,ukraine,10
3472,malmo-2024,2024,Points given,germany,ukraine,10
3473,malmo-2024,2024,Points given,iceland,ukraine,10
3474,malmo-2024,2024,Points given,ireland,ukraine,8
3475,malmo-2024,2024,Points given,lithuania,ukraine,12
3476,malmo-2024,2024,Points given,luxembourg,ukraine,8
3477,malmo-2024,2024,Points given,moldova,ukraine,10
3478,malmo-2024,2024,Points given,poland,ukraine,12
3479,malmo-2024,2024,Points given,portugal,ukraine,12
3480,malmo-2024,2024,Points given,serbia,ukraine,6
3481,malmo-2024,2024,Points given,slovenia,ukraine,8
3482,malmo-2024,2024,Points given,sweden,ukraine,10
3483,malmo-2024,2024,Points given,united kingdom,ukraine,7
3484,malmo-2024,2024,Points given,australia,ireland,10
3485,malmo-2024,2024,Points given,azerbaijan,ireland,6
3486,malmo-2024,2024,Points given,croatia,ireland,6
3487,malmo-2024,2024,Points given,cyprus,ireland,6
3488,malmo-2024,2024,Points given,finland,ireland,8
3489,malmo-2024,2024,Points given,germany,ireland,6
3490,malmo-2024,2024,Points given,iceland,ireland,3
3491,malmo-2024,2024,Points given,lithuania,ireland,8
3492,malmo-2024,2024,Points given,luxembourg,ireland,6
3493,malmo-2024,2024,Points given,moldova,ireland,5
3494,malmo-2024,2024,Points given,poland,ireland,8
3495,malmo-2024,2024,Points given,portugal,ireland,7
3496,malmo-2024,2024,Points given,serbia,ireland,7
3497,malmo-2024,2024,Points given,slovenia,ireland,4
3498,malmo-2024,2024,Points given,sweden,ireland,6
3499,malmo-2024,2024,Points given,ukraine,ireland,8
3500,malmo-2024,2024,Points given,united kingdom,ireland,10
3501,malmo-2024,2024,Points given,australia,lithuania,6
3502,malmo-2024,2024,Points given,azerbaijan,lithuania,3
3503,malmo-2024,2024,Points given,croatia,lithuania,3
3504,malmo-2024,2024,Points given,cyprus,lithuania,10
3505,malmo-2024,2024,Points given,finland,lithuania,7
3506,malmo-2024,2024,Points given,germany,lithuania,8
3507,malmo-2024,2024,Points given,iceland,lithuania,7
3508,malmo-2024,2024,Points given,ireland,lithuania,12
3509,malmo-2024,2024,Points given,luxembourg,lithuania,10
3510,malmo-2024,2024,Points given,moldova,lithuania,2
3511,malmo-2024,2024,Points given,poland,lithuania,7
3512,malmo-2024,2024,Points given,portugal,lithuania,4
3513,malmo-2024,2024,Points given,serbia,lithuania,2
3514,malmo-2024,2024,Points given,slovenia,lithuania,6
3515,malmo-2024,2024,Points given,sweden,lithuania,5
3516,malmo-2024,2024,Points given,ukraine,lithuania,10
3517,malmo-2024,2024,Points given,united kingdom,lithuania,12
3518,malmo-2024,2024,Points given,australia,luxembourg,4
3519,malmo-2024,2024,Points given,azerbaijan,luxembourg,8
3520,malmo-2024,2024,Points given,croatia,luxembourg,7
3521,malmo-2024,2024,Points given,cyprus,luxembourg,8
3522,malmo-2024,2024,Points given,finland,luxembourg,6
3523,malmo-2024,2024,Points given,germany,luxembourg,7
3524,malmo-2024,2024,Points given,iceland,luxembourg,5
3525,malmo-2024,2024,Points given,ireland,luxembourg,6
3526,malmo-2024,2024,Points given,lithuania,luxembourg,7
3527,malmo-2024,2024,Points given,moldova,luxembourg,7
3528,malmo-2024,2024,Points given,poland,luxembourg,6
3529,malmo-2024,2024,Points given,portugal,luxembourg,10
3530,malmo-2024,2024,Points given,serbia,luxembourg,8
3531,malmo-2024,2024,Points given,slovenia,luxembourg,5
3532,malmo-2024,2024,Points given,sweden,luxembourg,7
3533,malmo-2024,2024,Points given,ukraine,luxembourg,7
3534,malmo-2024,2024,Points given,united kingdom,luxembourg,3
3535,malmo-2024,2024,Points given,australia,cyprus,7
3536,malmo-2024,2024,Points given,azerbaijan,cyprus,12
3537,malmo-2024,2024,Points given,croatia,cyprus,4
3538,malmo-2024,2024,Points given,finland,cyprus,2
3539,malmo-2024,2024,Points given,iceland,cyprus,4
3540,malmo-2024,2024,Points given,ireland,cyprus,1
3541,malmo-2024,2024,Points given,luxembourg,cyprus,4
3542,malmo-2024,2024,Points given,moldova,cyprus,12
3543,malmo-2024,2024,Points given,portugal,cyprus,8
3544,malmo-2024,2024,Points given,serbia,cyprus,4
3545,malmo-2024,2024,Points given,slovenia,cyprus,7
3546,malmo-2024,2024,Points given,sweden,cyprus,1
3547,malmo-2024,2024,Points given,united kingdom,cyprus,1
3548,malmo-2024,2024,Points given,australia,finland,5
3549,malmo-2024,2024,Points given,croatia,finland,5
3550,malmo-2024,2024,Points given,germany,finland,3
3551,malmo-2024,2024,Points given,iceland,finland,6
3552,malmo-2024,2024,Points given,ireland,finland,5
3553,malmo-2024,2024,Points given,lithuania,finland,6
3554,malmo-2024,2024,Points given,luxembourg,finland,2
3555,malmo-2024,2024,Points given,poland,finland,5
3556,malmo-2024,2024,Points given,slovenia,finland,3
3557,malmo-2024,2024,Points given,sweden,finland,8
3558,malmo-2024,2024,Points given,ukraine,finland,6
3559,malmo-2024,2024,Points given,united kingdom,finland,4
3560,malmo-2024,2024,Points given,australia,portugal,2
3561,malmo-2024,2024,Points given,azerbaijan,portugal,4
3562,malmo-2024,2024,Points given,croatia,portugal,2
3563,malmo-2024,2024,Points given,cyprus,portugal,4
3564,malmo-2024,2024,Points given,finland,portugal,4
3565,malmo-2024,2024,Points given,germany,portugal,1
3566,malmo-2024,2024,Points given,iceland,portugal,1
3567,malmo-2024,2024,Points given,ireland,portugal,3
3568,malmo-2024,2024,Points given,lithuania,portugal,5
3569,malmo-2024,2024,Points given,luxembourg,portugal,12
3570,malmo-2024,2024,Points given,moldova,portugal,3
3571,malmo-2024,2024,Points given,poland,portugal,3
3572,malmo-2024,2024,Points given,serbia,portugal,5
3573,malmo-2024,2024,Points given,slovenia,portugal,2
3574,malmo-2024,2024,Points given,ukraine,portugal,2
3575,malmo-2024,2024,Points given,united kingdom,portugal,2
3576,malmo-2024,2024,Points given,australia,slovenia,3
3577,malmo-2024,2024,Points given,azerbaijan,slovenia,1
3578,malmo-2024,2024,Points given,croatia,slovenia,10
3579,malmo-2024,2024,Points given,cyprus,slovenia,2
3580,malmo-2024,2024,Points given,finland,slovenia,3
3581,malmo-2024,2024,Points given,lithuania,slovenia,3
3582,malmo-2024,2024,Points given,luxembourg,slovenia,1
3583,malmo-2024,2024,Points given,moldova,slovenia,4
3584,malmo-2024,2024,Points given,poland,slovenia,4
3585,malmo-2024,2024,Points given,portugal,slovenia,3
3586,malmo-2024,2024,Points given,serbia,slovenia,10
3587,malmo-2024,2024,Points given,azerbaijan,serbia,5
3588,malmo-2024,2024,Points given,croatia,serbia,12
3589,malmo-2024,2024,Points given,cyprus,serbia,5
3590,malmo-2024,2024,Points given,germany,serbia,5
3591,malmo-2024,2024,Points given,luxembourg,serbia,5
3592,malmo-2024,2024,Points given,portugal,serbia,1
3593,malmo-2024,2024,Points given,slovenia,serbia,10
3594,malmo-2024,2024,Points given,finland,australia,5
3595,malmo-2024,2024,Points given,germany,australia,4
3596,malmo-2024,2024,Points given,iceland,australia,2
3597,malmo-2024,2024,Points given,ireland,australia,4
3598,malmo-2024,2024,Points given,lithuania,australia,2
3599,malmo-2024,2024,Points given,luxembourg,australia,3
3600,malmo-2024,2024,Points given,moldova,australia,1
3601,malmo-2024,2024,Points given,poland,australia,2
3602,malmo-2024,2024,Points given,portugal,australia,2
3603,malmo-2024,2024,Points given,sweden,australia,4
3604,malmo-2024,2024,Points given,ukraine,australia,5
3605,malmo-2024,2024,Points given,united kingdom,australia,5
3606,malmo-2024,2024,Points given,australia,poland,1
3607,malmo-2024,2024,Points given,germany,poland,2
3608,malmo-2024,2024,Points given,iceland,poland,8
3609,malmo-2024,2024,Points given,ireland,poland,7
3610,malmo-2024,2024,Points given,lithuania,poland,4
3611,malmo-2024,2024,Points given,slovenia,poland,1
3612,malmo-2024,2024,Points given,sweden,poland,3
3613,malmo-2024,2024,Points given,ukraine,poland,3
3614,malmo-2024,2024,Points given,united kingdom,poland,6
3615,malmo-2024,2024,Points given,azerbaijan,moldova,2
3616,malmo-2024,2024,Points given,croatia,moldova,1
3617,malmo-2024,2024,Points given,cyprus,moldova,3
3618,malmo-2024,2024,Points given,ireland,moldova,2
3619,malmo-2024,2024,Points given,portugal,moldova,5
3620,malmo-2024,2024,Points given,serbia,moldova,3
3621,malmo-2024,2024,Points given,ukraine,moldova,4
3622,malmo-2024,2024,Points given,finland,azerbaijan,1
3623,malmo-2024,2024,Points given,lithuania,azerbaijan,1
3624,malmo-2024,2024,Points given,moldova,azerbaijan,6
3625,malmo-2024,2024,Points given,poland,azerbaijan,1
3626,malmo-2024,2024,Points given,serbia,azerbaijan,1
3627,malmo-2024,2024,Points given,ukraine,azerbaijan,1
3628,malmo-2024,2024,Points given,cyprus,iceland,1
3629,malmo-2024,2024,Points given,sweden,iceland,2
3630,malmo-2024,2024,Points given,albania,israel,12
3631,malmo-2024,2024,Points given,armenia,israel,6
3632,malmo-2024,2024,Points given,austria,israel,10
3633,malmo-2024,2024,Points given,belgium,israel,10
3634,malmo-2024,2024,Points given,czech republic,israel,12
3635,malmo-2024,2024,Points given,denmark,israel,12
3636,malmo-2024,2024,Points given,estonia,israel,8
3637,malmo-2024,2024,Points given,france,israel,12
3638,malmo-2024,2024,Points given,georgia,israel,10
3639,malmo-2024,2024,Points given,greece,israel,10
3640,malmo-2024,2024,Points given,italy,israel,12
3641,malmo-2024,2024,Points given,latvia,israel,10
3642,malmo-2024,2024,Points given,malta,israel,10
3643,malmo-2024,2024,Points given,the netherlands,israel,12
3644,malmo-2024,2024,Points given,norway,israel,12
3645,malmo-2024,2024,Points given,spain,israel,12
3646,malmo-2024,2024,Points given,switzerland,israel,12
3647,malmo-2024,2024,Points given,albania,the netherlands,10
3648,malmo-2024,2024,Points given,armenia,the netherlands,8
3649,malmo-2024,2024,Points given,austria,the netherlands,12
3650,malmo-2024,2024,Points given,belgium,the netherlands,12
3651,malmo-2024,2024,Points given,czech republic,the netherlands,10
3652,malmo-2024,2024,Points given,denmark,the netherlands,10
3653,malmo-2024,2024,Points given,estonia,the netherlands,10
3654,malmo-2024,2024,Points given,france,the netherlands,7
3655,malmo-2024,2024,Points given,georgia,the netherlands,8
3656,malmo-2024,2024,Points given,greece,the netherlands,12
3657,malmo-2024,2024,Points given,israel,the netherlands,7
3658,malmo-2024,2024,Points given,italy,the netherlands,10
3659,malmo-2024,2024,Points given,latvia,the netherlands,8
3660,malmo-2024,2024,Points given,malta,the netherlands,12
3661,malmo-2024,2024,Points given,norway,the netherlands,8
3662,malmo-2024,2024,Points given,san marino,the netherlands,10
3663,malmo-2024,2024,Points given,spain,the netherlands,8
3664,malmo-2024,2024,Points given,switzerland,the netherlands,10
3665,malmo-2024,2024,Points given,albania,armenia,6
3666,malmo-2024,2024,Points given,austria,armenia,6
3667,malmo-2024,2024,Points given,belgium,armenia,6
3668,malmo-2024,2024,Points given,czech republic,armenia,7
3669,malmo-2024,2024,Points given,denmark,armenia,5
3670,malmo-2024,2024,Points given,estonia,armenia,4
3671,malmo-2024,2024,Points given,france,armenia,10
3672,malmo-2024,2024,Points given,georgia,armenia,12
3673,malmo-2024,2024,Points given,greece,armenia,8
3674,malmo-2024,2024,Points given,israel,armenia,12
3675,malmo-2024,2024,Points given,italy,armenia,7
3676,malmo-2024,2024,Points given,latvia,armenia,5
3677,malmo-2024,2024,Points given,malta,armenia,5
3678,malmo-2024,2024,Points given,the netherlands,armenia,10
3679,malmo-2024,2024,Points given,norway,armenia,5
3680,malmo-2024,2024,Points given,san marino,armenia,8
3681,malmo-2024,2024,Points given,spain,armenia,7
3682,malmo-2024,2024,Points given,switzerland,armenia,6
3683,malmo-2024,2024,Points given,albania,switzerland,5
3684,malmo-2024,2024,Points given,armenia,switzerland,7
3685,malmo-2024,2024,Points given,austria,switzerland,8
3686,malmo-2024,2024,Points given,belgium,switzerland,7
3687,malmo-2024,2024,Points given,czech republic,switzerland,8
3688,malmo-2024,2024,Points given,denmark,switzerland,6
3689,malmo-2024,2024,Points given,estonia,switzerland,7
3690,malmo-2024,2024,Points given,france,switzerland,8
3691,malmo-2024,2024,Points given,georgia,switzerland,5
3692,malmo-2024,2024,Points given,greece,switzerland,7
3693,malmo-2024,2024,Points given,israel,switzerland,4
3694,malmo-2024,2024,Points given,italy,switzerland,8
3695,malmo-2024,2024,Points given,latvia,switzerland,7
3696,malmo-2024,2024,Points given,malta,switzerland,8
3697,malmo-2024,2024,Points given,the netherlands,switzerland,8
3698,malmo-2024,2024,Points given,norway,switzerland,7
3699,malmo-2024,2024,Points given,san marino,switzerland,12
3700,malmo-2024,2024,Points given,spain,switzerland,4
3701,malmo-2024,2024,Points given,albania,greece,8
3702,malmo-2024,2024,Points given,armenia,greece,12
3703,malmo-2024,2024,Points given,austria,greece,2
3704,malmo-2024,2024,Points given,belgium,greece,8
3705,malmo-2024,2024,Points given,czech republic,greece,4
3706,malmo-2024,2024,Points given,denmark,greece,2
3707,malmo-2024,2024,Points given,france,greece,4
3708,malmo-2024,2024,Points given,georgia,greece,6
3709,malmo-2024,2024,Points given,israel,greece,3
3710,malmo-2024,2024,Points given,italy,greece,6
3711,malmo-2024,2024,Points given,malta,greece,6
3712,malmo-2024,2024,Points given,the netherlands,greece,6
3713,malmo-2024,2024,Points given,norway,greece,1
3714,malmo-2024,2024,Points given,spain,greece,5
3715,malmo-2024,2024,Points given,switzerland,greece,8
3716,malmo-2024,2024,Points given,albania,estonia,3
3717,malmo-2024,2024,Points given,armenia,estonia,2
3718,malmo-2024,2024,Points given,austria,estonia,7
3719,malmo-2024,2024,Points given,belgium,estonia,4
3720,malmo-2024,2024,Points given,czech republic,estonia,6
3721,malmo-2024,2024,Points given,denmark,estonia,4
3722,malmo-2024,2024,Points given,france,estonia,2
3723,malmo-2024,2024,Points given,greece,estonia,2
3724,malmo-2024,2024,Points given,israel,estonia,10
3725,malmo-2024,2024,Points given,italy,estonia,3
3726,malmo-2024,2024,Points given,latvia,estonia,12
3727,malmo-2024,2024,Points given,the netherlands,estonia,7
3728,malmo-2024,2024,Points given,norway,estonia,4
3729,malmo-2024,2024,Points given,san marino,estonia,1
3730,malmo-2024,2024,Points given,switzerland,estonia,5
3731,malmo-2024,2024,Points given,austria,latvia,4
3732,malmo-2024,2024,Points given,belgium,latvia,5
3733,malmo-2024,2024,Points given,czech republic,latvia,5
3734,malmo-2024,2024,Points given,denmark,latvia,7
3735,malmo-2024,2024,Points given,estonia,latvia,12
3736,malmo-2024,2024,Points given,georgia,latvia,7
3737,malmo-2024,2024,Points given,malta,latvia,7
3738,malmo-2024,2024,Points given,the netherlands,latvia,3
3739,malmo-2024,2024,Points given,norway,latvia,6
3740,malmo-2024,2024,Points given,san marino,latvia,3
3741,malmo-2024,2024,Points given,spain,latvia,6
3742,malmo-2024,2024,Points given,switzerland,latvia,7
3743,malmo-2024,2024,Points given,albania,georgia,7
3744,malmo-2024,2024,Points given,armenia,georgia,10
3745,malmo-2024,2024,Points given,austria,georgia,1
3746,malmo-2024,2024,Points given,belgium,georgia,2
3747,malmo-2024,2024,Points given,czech republic,georgia,1
3748,malmo-2024,2024,Points given,estonia,georgia,1
3749,malmo-2024,2024,Points given,france,georgia,6
3750,malmo-2024,2024,Points given,greece,georgia,6
3751,malmo-2024,2024,Points given,israel,georgia,6
3752,malmo-2024,2024,Points given,italy,georgia,5
3753,malmo-2024,2024,Points given,malta,georgia,4
